--- ANÁLISIS DE TEMAS LDA (K=300) ---

==================== TEMA 0 ====================
  1. alemán               (Prob: 0.151728)
  2. matar                (Prob: 0.046010)
  3. grave                (Prob: 0.041414)
  4. pensar               (Prob: 0.036817)
  5. campo                (Prob: 0.027625)
  6. deportación          (Prob: 0.018432)
  7. sacar                (Prob: 0.018432)
  8. frío                 (Prob: 0.018432)
  9. pronazi              (Prob: 0.018432)
  10. jabón                (Prob: 0.013835)
  11. contestación         (Prob: 0.013835)
  12. tropezar             (Prob: 0.013835)
  13. hasse                (Prob: 0.013835)
  14. moderno              (Prob: 0.009239)
  15. trece                (Prob: 0.009239)
  16. cort                 (Prob: 0.009239)
  17. hacia                (Prob: 0.004642)
  18. alejar               (Prob: 0.004642)
  19. luego                (Prob: 0.004642)
  20. tercer               (Prob: 0.004642)

==================== TEMA 25 ====================
  1. aquel                (Prob: 0.153850)
  2. perder               (Prob: 0.052777)
  3. fondo                (Prob: 0.048383)
  4. adoptar              (Prob: 0.030805)
  5. capaz                (Prob: 0.017622)
  6. cirujano             (Prob: 0.017622)
  7. encontré             (Prob: 0.013227)
  8. individual           (Prob: 0.008833)
  9. todavía              (Prob: 0.008833)
  10. compañía             (Prob: 0.008833)
  11. eichmann             (Prob: 0.008833)
  12. vuelco               (Prob: 0.008833)
  13. objetivo             (Prob: 0.008833)
  14. lobo                 (Prob: 0.008833)
  15. escapar él           (Prob: 0.008833)
  16. oberscharführer      (Prob: 0.004438)
  17. gabinete             (Prob: 0.004438)
  18. espesor              (Prob: 0.004438)
  19. tazar                (Prob: 0.004438)
  20. juntamente           (Prob: 0.004438)

==================== TEMA 26 ====================
  1. día                  (Prob: 0.327448)
  2. viaje                (Prob: 0.031221)
  3. niño                 (Prob: 0.023425)
  4. prestar              (Prob: 0.019528)
  5. increíble            (Prob: 0.019528)
  6. hermana              (Prob: 0.015630)
  7. reich                (Prob: 0.011732)
  8. alma                 (Prob: 0.011732)
  9. garrote              (Prob: 0.007834)
  10. afuero               (Prob: 0.007834)
  11. habitación           (Prob: 0.007834)
  12. caldera              (Prob: 0.007834)
  13. asomar               (Prob: 0.007834)
  14. avanzar              (Prob: 0.007834)
  15. bota                 (Prob: 0.007834)
  16. describir            (Prob: 0.007834)
  17. indiscreta           (Prob: 0.003937)
  18. gesto                (Prob: 0.003937)
  19. parada               (Prob: 0.003937)
  20. afortunado           (Prob: 0.003937)

==================== TEMA 27 ====================
  1. allí                 (Prob: 0.091162)
  2. padecer              (Prob: 0.055730)
  3. mientras             (Prob: 0.025359)
  4. bajo                 (Prob: 0.025359)
  5. manera               (Prob: 0.020298)
  6. arved                (Prob: 0.020298)
  7. muestra              (Prob: 0.015236)
  8. oído                 (Prob: 0.015236)
  9. noté                 (Prob: 0.015236)
  10. generalmente         (Prob: 0.015236)
  11. trasladar            (Prob: 0.015236)
  12. oir                  (Prob: 0.010174)
  13. botello              (Prob: 0.010174)
  14. bosques              (Prob: 0.010174)
  15. amargo               (Prob: 0.010174)
  16. importar             (Prob: 0.010174)
  17. botella              (Prob: 0.010174)
  18. decírselo            (Prob: 0.010174)
  19. entender             (Prob: 0.010174)
  20. valor                (Prob: 0.010174)

==================== TEMA 28 ====================
  1. cámara               (Prob: 0.065522)
  2. gas                  (Prob: 0.060485)
  3. parte                (Prob: 0.030268)
  4. cierto               (Prob: 0.025232)
  5. miembro              (Prob: 0.025232)
  6. marchar              (Prob: 0.020195)
  7. base                 (Prob: 0.020195)
  8. gesto                (Prob: 0.020195)
